country_code,gender,year,urban_population
MMR,FE,2019,17.522709
MYS,FE,2019,38.60559
AUS,MA,2019,44.22707
CHN,MA,2019,28.855291
JPN,MA,2019,45.46874
PHL,MA,2019,21.832363
THA,MA,2019,24.436201
VNM,MA,2019,16.252972
GBR,MA,2019,40.62402
USA,MA,2019,39.917633
ARE,MA,2019,59.63667
SGP,MA,2019,49.386013
MMR,MA,2019,16.575584
MYS,MA,2019,36.099964
AUS,FE,2020,45.19689
CHN,FE,2020,26.758738
JPN,FE,2020,48.02908
PHL,FE,2020,22.540592
THA,FE,2020,25.937685
VNM,FE,2020,17.339859
GBR,FE,2020,41.967922
USA,FE,2020,41.700012
ARE,FE,2020,25.90311
SGP,FE,2020,50.613987
MMR,FE,2020,17.522709
MYS,FE,2020,38.60559
AUS,MA,2020,44.22707
CHN,MA,2020,28.855291
JPN,MA,2020,45.46874
PHL,MA,2020,21.832363
THA,MA,2020,24.436201
VNM,MA,2020,16.252972
GBR,MA,2020,40.62402
USA,MA,2020,39.917633
ARE,MA,2020,59.63667
SGP,MA,2020,49.386013
MMR,MA,2020,16.575584
MYS,MA,2020,36.099964
AUS,FE,2021,45.19689
CHN,FE,2021,26.758738
JPN,FE,2021,48.02908
PHL,FE,2021,22.540592
THA,FE,2021,25.937685
VNM,FE,2021,17.339859
GBR,FE,2021,41.967922
USA,FE,2021,41.700012
ARE,FE,2021,25.90311
SGP,FE,2021,50.613987
MMR,FE,2021,17.522709
MYS,FE,2021,38.60559
AUS,MA,2021,44.22707
CHN,MA,2021,28.855291
JPN,MA,2021,45.46874
PHL,MA,2021,21.832363
THA,MA,2021,24.436201
VNM,MA,2021,16.252972
GBR,MA,2021,40.62402
USA,MA,2021,39.917633
ARE,MA,2021,59.63667
SGP,MA,2021,49.386013
MMR,MA,2021,16.575584
MYS,MA,2021,36.099964
