country_code,gender,year,debit
VNM,MA,2020,26.07479477
GBR,MA,2020,91.56806183
USA,MA,2020,81.40048218
ARE,MA,2020,87.13478088
SGP,MA,2020,92.05078125
MMR,MA,2020,5.693940163
MYS,MA,2020,79.42333221
AUS,FE,2021,90.88397217
CHN,FE,2021,63.10500336
JPN,FE,2021,88.77148438
PHL,FE,2021,18.73773384
THA,FE,2021,58.61133957
VNM,FE,2021,27.34769821
GBR,FE,2021,91.34542847
USA,FE,2021,79.08667755
ARE,FE,2021,71.57443237
SGP,FE,2021,91.6592865
MMR,FE,2021,4.163137913
MYS,FE,2021,67.45070648
AUS,MA,2021,89.00618744
CHN,MA,2021,70.28309631
JPN,MA,2021,84.85359192
PHL,MA,2021,23.34905243
THA,MA,2021,61.27391052
VNM,MA,2021,26.07479477
GBR,MA,2021,91.56806183
USA,MA,2021,81.40048218
ARE,MA,2021,87.13478088
SGP,MA,2021,92.05078125
MMR,MA,2021,5.693940163
MYS,MA,2021,79.42333221
