country_code,gender,year,employers
VNM,FE,2014,1.21
GBR,FE,2014,1.43
USA,FE,2014,1.71
ARE,FE,2014,1.0
SGP,FE,2014,3.21
MMR,FE,2014,1.34
MYS,FE,2014,1.47
AUS,MA,2015,7.78
CHN,MA,2015,2.77
JPN,MA,2015,2.96
PHL,MA,2015,3.97
THA,MA,2015,3.96
VNM,MA,2015,3.84
GBR,MA,2015,3.41
USA,MA,2015,2.96
ARE,MA,2015,2.96
SGP,MA,2015,7.33
MMR,MA,2015,4.11
MYS,MA,2015,5.47
AUS,FE,2015,4.35
CHN,FE,2015,0.95
JPN,FE,2015,0.82
PHL,FE,2015,1.9
THA,FE,2015,1.52
VNM,FE,2015,1.87
GBR,FE,2015,1.34
USA,FE,2015,1.67
ARE,FE,2015,1.03
SGP,FE,2015,3.46
MMR,FE,2015,1.34
MYS,FE,2015,1.71
AUS,MA,2016,7.88
CHN,MA,2016,2.83
JPN,MA,2016,2.94
PHL,MA,2016,4.07
THA,MA,2016,4.0
VNM,MA,2016,3.75
GBR,MA,2016,3.33
USA,MA,2016,2.94
ARE,MA,2016,2.9
SGP,MA,2016,6.87
MMR,MA,2016,4.07
MYS,MA,2016,4.66
AUS,FE,2016,4.21
CHN,FE,2016,0.99
JPN,FE,2016,0.82
PHL,FE,2016,2.12
THA,FE,2016,1.43
VNM,FE,2016,1.84
GBR,FE,2016,1.39
USA,FE,2016,1.63
ARE,FE,2016,1.09
SGP,FE,2016,3.16
MMR,FE,2016,1.34
MYS,FE,2016,1.44
AUS,MA,2017,7.94
CHN,MA,2017,2.88
JPN,MA,2017,2.91
PHL,MA,2017,4.45
THA,MA,2017,3.79
VNM,MA,2017,2.88
GBR,MA,2017,3.24
USA,MA,2017,2.8
ARE,MA,2017,3.02
SGP,MA,2017,6.34
MMR,MA,2017,4.03
MYS,MA,2017,5.13
AUS,FE,2017,4.1
CHN,FE,2017,1.04
JPN,FE,2017,0.77
PHL,FE,2017,2.48
THA,FE,2017,1.39
VNM,FE,2017,1.12
GBR,FE,2017,1.42
USA,FE,2017,1.67
ARE,FE,2017,1.45
SGP,FE,2017,2.75
MMR,FE,2017,1.34
MYS,FE,2017,1.7
AUS,MA,2018,7.53
CHN,MA,2018,2.92
JPN,MA,2018,2.85
PHL,MA,2018,4.31
THA,MA,2018,3.77
VNM,MA,2018,3.01
GBR,MA,2018,2.78
USA,MA,2018,2.84
ARE,MA,2018,3.35
SGP,MA,2018,5.64
MMR,MA,2018,6.0
MYS,MA,2018,4.93
AUS,FE,2018,3.84
CHN,FE,2018,1.07
JPN,FE,2018,0.74
PHL,FE,2018,2.53
THA,FE,2018,1.39
VNM,FE,2018,1.19
GBR,FE,2018,1.24
USA,FE,2018,1.63
ARE,FE,2018,1.4
SGP,FE,2018,2.57
MMR,FE,2018,1.8
MYS,FE,2018,1.72
AUS,MA,2019,7.57
CHN,MA,2019,2.91
JPN,MA,2019,2.73
PHL,MA,2019,3.44
THA,MA,2019,3.48
VNM,MA,2019,2.8
GBR,MA,2019,3.05
USA,MA,2019,2.71
ARE,MA,2019,3.92
SGP,MA,2019,5.5
MMR,MA,2019,3.42
MYS,MA,2019,4.81
AUS,FE,2019,4.14
CHN,FE,2019,1.1
JPN,FE,2019,0.69
PHL,FE,2019,2.16
THA,FE,2019,1.42
VNM,FE,2019,1.14
GBR,FE,2019,1.27
USA,FE,2019,1.61
ARE,FE,2019,1.63
SGP,FE,2019,2.53
MMR,FE,2019,1.14
MYS,FE,2019,1.66
AUS,MA,2020,7.57
CHN,MA,2020,2.91
JPN,MA,2020,2.73
PHL,MA,2020,3.44
THA,MA,2020,3.48
VNM,MA,2020,2.8
GBR,MA,2020,3.05
USA,MA,2020,2.71
ARE,MA,2020,3.92
SGP,MA,2020,5.5
MMR,MA,2020,3.42
MYS,MA,2020,4.81
AUS,FE,2020,4.14
CHN,FE,2020,1.1
JPN,FE,2020,0.69
PHL,FE,2020,2.16
THA,FE,2020,1.42
VNM,FE,2020,1.14
GBR,FE,2020,1.27
USA,FE,2020,1.61
ARE,FE,2020,1.63
SGP,FE,2020,2.53
MMR,FE,2020,1.14
MYS,FE,2020,1.66
AUS,MA,2021,7.57
CHN,MA,2021,2.91
JPN,MA,2021,2.73
PHL,MA,2021,3.44
THA,MA,2021,3.48
VNM,MA,2021,2.8
GBR,MA,2021,3.05
USA,MA,2021,2.71
ARE,MA,2021,3.92
SGP,MA,2021,5.5
MMR,MA,2021,3.42
MYS,MA,2021,4.81
AUS,FE,2021,4.14
CHN,FE,2021,1.1
JPN,FE,2021,0.69
PHL,FE,2021,2.16
THA,FE,2021,1.42
VNM,FE,2021,1.14
GBR,FE,2021,1.27
USA,FE,2021,1.61
ARE,FE,2021,1.63
SGP,FE,2021,2.53
MMR,FE,2021,1.14
MYS,FE,2021,1.66
