country_code,gender,year,credit
THA,MA,2019,24.43620178
VNM,MA,2019,16.25297154
GBR,MA,2019,40.62402105
USA,MA,2019,39.91763219
ARE,MA,2019,59.63666736
SGP,MA,2019,49.38601175
MMR,MA,2019,16.57558526
MYS,MA,2019,36.09996411
AUS,FE,2020,45.19688989
CHN,FE,2020,26.75873849
JPN,FE,2020,48.02908082
PHL,FE,2020,22.54059311
THA,FE,2020,25.93768546
VNM,FE,2020,17.33985822
GBR,FE,2020,41.96792181
USA,FE,2020,41.70001261
ARE,FE,2020,25.9031113
SGP,FE,2020,50.61398825
MMR,FE,2020,17.52270881
MYS,FE,2020,38.60559199
AUS,MA,2020,44.22707132
CHN,MA,2020,28.85529047
JPN,MA,2020,45.46873891
PHL,MA,2020,21.8323625
THA,MA,2020,24.43620178
VNM,MA,2020,16.25297154
GBR,MA,2020,40.62402105
USA,MA,2020,39.91763219
ARE,MA,2020,59.63666736
SGP,MA,2020,49.38601175
MMR,MA,2020,16.57558526
MYS,MA,2020,36.09996411
AUS,FE,2021,45.19688989
CHN,FE,2021,26.75873849
JPN,FE,2021,48.02908082
PHL,FE,2021,22.54059311
THA,FE,2021,25.93768546
VNM,FE,2021,17.33985822
GBR,FE,2021,41.96792181
USA,FE,2021,41.70001261
ARE,FE,2021,25.9031113
SGP,FE,2021,50.61398825
MMR,FE,2021,17.52270881
MYS,FE,2021,38.60559199
AUS,MA,2021,44.22707132
CHN,MA,2021,28.85529047
JPN,MA,2021,45.46873891
PHL,MA,2021,21.8323625
THA,MA,2021,24.43620178
VNM,MA,2021,16.25297154
GBR,MA,2021,40.62402105
USA,MA,2021,39.91763219
ARE,MA,2021,59.63666736
SGP,MA,2021,49.38601175
MMR,MA,2021,16.57558526
MYS,MA,2021,36.09996411
AUS,FE,4,ZS
CHN,FE,4,ZS
JPN,FE,4,ZS
PHL,FE,4,ZS
THA,FE,4,ZS
VNM,FE,4,ZS
GBR,FE,4,ZS
USA,FE,4,ZS
ARE,FE,4,ZS
SGP,FE,4,ZS
MMR,FE,4,ZS
MYS,FE,4,ZS
AUS,MA,4,ZS
CHN,MA,4,ZS
JPN,MA,4,ZS
PHL,MA,4,ZS
THA,MA,4,ZS
VNM,MA,4,ZS
GBR,MA,4,ZS
USA,MA,4,ZS
ARE,MA,4,ZS
SGP,MA,4,ZS
MMR,MA,4,ZS
MYS,MA,4,ZS
