country_code,gender,year,suicide
GBR,FE,2018,4.1
USA,FE,2018,7.2
ARE,FE,2018,2.9
SGP,FE,2018,6
MMR,FE,2018,1.1
MYS,FE,2018,2.3
AUS,MA,2018,18.7
PHL,MA,2018,3.2
THA,MA,2018,14.8
VNM,MA,2018,10.6
GBR,MA,2018,12.2
USA,MA,2018,24.3
ARE,MA,2018,7.4
SGP,MA,2018,12.6
MMR,MA,2018,4.8
MYS,MA,2018,8.5
AUS,FE,2019,6.4
PHL,FE,2019,1.2
THA,FE,2019,2.9
VNM,FE,2019,4.7
GBR,FE,2019,4
USA,FE,2019,7.5
ARE,FE,2019,3
SGP,FE,2019,7.1
MMR,FE,2019,1.1
MYS,FE,2019,2.3
AUS,MA,2019,18.6
PHL,MA,2019,3.1
THA,MA,2019,15
VNM,MA,2019,10.4
GBR,MA,2019,11.8
USA,MA,2019,25
ARE,MA,2019,8
SGP,MA,2019,15
MMR,MA,2019,4.9
MYS,MA,2019,8.9
AUS,FE,2020,6.4
PHL,FE,2020,1.2
THA,FE,2020,2.9
VNM,FE,2020,4.7
GBR,FE,2020,4
USA,FE,2020,7.5
ARE,FE,2020,3
SGP,FE,2020,7.1
MMR,FE,2020,1.1
MYS,FE,2020,2.3
AUS,MA,2020,18.6
PHL,MA,2020,3.1
THA,MA,2020,15
VNM,MA,2020,10.4
GBR,MA,2020,11.8
USA,MA,2020,25
ARE,MA,2020,8
SGP,MA,2020,15
MMR,MA,2020,4.9
MYS,MA,2020,8.9
AUS,FE,2021,6.4
PHL,FE,2021,1.2
THA,FE,2021,2.9
VNM,FE,2021,4.7
GBR,FE,2021,4
USA,FE,2021,7.5
ARE,FE,2021,3
SGP,FE,2021,7.1
MMR,FE,2021,1.1
MYS,FE,2021,2.3
AUS,MA,2021,18.6
PHL,MA,2021,3.1
THA,MA,2021,15
VNM,MA,2021,10.4
GBR,MA,2021,11.8
USA,MA,2021,25
ARE,MA,2021,8
SGP,MA,2021,15
MMR,MA,2021,4.9
MYS,MA,2021,8.9
